wals_code	feature	old	new
ani	1A	2	5
abi	1A	5	2
abk	1A	1	5
ach	1A	2	1
acm	1A	5	2
aco	1A	2	5
adz	1A	4	2
agh	1A	4	3
aht	1A	1	4
ain	1A	3	1
akn	1A	1	3
abm	1A	2	1
ala	1A	3	2
alw	1A	4	3
aea	1A	4	3
ald	1A	1	3
amc	1A	2	1
ame	1A	5	2
amu	1A	4	3
amz	1A	2	3
gan	1A	1	3
ant	1A	4	1
anc	1A	1	4
arb	1A	4	1
aeg	1A	3	4
ana	1A	5	3
arc	1A	4	5
arm	1A	1	4
asm	1A	3	1
ata	1A	1	3
bre	1A	4	3
bul	1A	5	3
wuc	1A	4	3
die	1A	4	3
amp	1A	4	5
gua	1A	3	2
hmr	1A	4	3
hzb	1A	4	5
igb	1A	5	4
jng	1A	4	3
kal	1A	2	5
kkv	1A	3	2
knk	1A	4	3
knd	1A	3	4
ksg	1A	2	4
krk	1A	4	2
kyl	1A	2	3
ked	1A	3	2
ker	1A	2	3
kew	1A	3	2
lkk	1A	5	4
lkt	1A	4	3
lan	1A	4	2
lat	1A	2	4
lav	1A	4	2
luo	1A	3	4
mal	1A	3	4
mnd	1A	4	3
mme	1A	4	3
mei	1A	4	3
nar	1A	2	3
nga	1A	2	3
ung	1A	3	2
ngz	1A	4	5
ond	1A	4	1
orm	1A	1	3
pac	1A	2	3
paw	1A	2	1
pec	1A	4	2
prh	1A	2	1
pit	1A	3	2
pol	1A	4	5
pso	1A	2	4
qaw	1A	4	3
nmb	1A	4	3
sor	1A	3	2
spa	1A	4	3
squ	1A	4	5
sre	1A	1	4
sue	1A	5	1
sui	1A	3	5
sup	1A	2	3
tab	1A	3	2
igs	1A	2	3
tag	1A	3	2
tam	1A	4	3
tug	1A	4	3
bma	1A	3	4
tmp	1A	1	3
tsg	1A	4	2
wnt	1A	1	2
knr	1A	4	3
puk	1A	4	5
phl	1A	1	3
phl	2A	2	3
fuz	5A	2	1
kla	5A	1	4
pnr	5A	2	1
psm	5A	2	1
pau	5A	1	2
tsi	5A	1	2
yay	5A	1	4
knr	5A	2	3
puk	5A	1	2
chp	7A	3	2
ik	7A	1	5
jeb	7A	2	6
kab	7A	3	2
mov	7A	1	3
ndt	7A	1	3
war	7A	1	4
yan	7A	1	2
ham	7A	2	1
bra	3A	2	3
che	3A	4	1
ccp	3A	5	4
ccp	6A	2	1
der	3A	1	2
din	3A	2	3
fur	3A	3	2
knd	3A	5	2
kun	3A	3	2
mnd	6A	3	1
ond	3A	1	2
pol	3A	5	4
qaw	3A	4	5
ttn	3A	3	2
wic	3A	5	3
ykt	3A	3	2
zan	3A	2	3
tho	92A	1	5
sno	138A	3	2
bsq	27A	3	1
tmr	9A	2	1
pny	105A	3	2
